symbol,fee_bps,policy,total_return,max_drawdown,ending_equity,fees,slippage,turnover,mean_exposure,trades,band_skips,pending_unfilled,bars
BTCUSDT,0,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
BTCUSDT,0,buy_hold,-0.129054054994025,-0.3202251526449771,8709.45945005975,0.0,0.0,1.0,0.9123287671232877,1,0,2,365
BTCUSDT,0,core_risk,-0.04049914980790503,-0.1401425886321942,9595.00850192095,0.0,0.0,1.9664838177716288,0.35379497420217376,333,0,2,365
BTCUSDT,0,core_tactical_risk,0.028789250896021912,-0.12368895476429675,10287.89250896022,0.0,0.0,17.176822650724457,0.2944468205564181,333,0,2,365
BTCUSDT,0,core_tactical_band,0.026705250140042436,-0.1237977848606927,10267.052501400423,0.0,0.0,16.351026821816745,0.28847778105762495,94,239,2,365
BTCUSDT,10,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
BTCUSDT,10,buy_hold,-0.130358951387468,-0.3202251526449772,8696.41048612532,9.990009990009993,4.992508740634674,0.9985017481269357,0.9123287671232877,1,0,2,365
BTCUSDT,10,core_risk,-0.043325259286237316,-0.14043261513241,9566.747407137627,19.468037883330986,9.73296670609238,1.9662166034673767,0.35379497420217376,333,0,2,365
BTCUSDT,10,core_tactical_risk,0.002620763276668381,-0.12900477211134798,10026.207632766684,181.3026171252947,90.65113458442184,17.173294310088306,0.2944468205564181,333,0,2,365
BTCUSDT,10,core_tactical_band,0.0018299641251877663,-0.12894884551892838,10018.299641251879,172.47562134482448,86.23763005512816,16.347519589361024,0.28847778105762495,94,239,2,365
BTCUSDT,30,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
BTCUSDT,30,buy_hold,-0.13209303124512028,-0.3202251526449771,8679.069687548797,29.910269192422735,4.98255358860948,0.9965107177218968,0.9123287671232877,1,0,2,365
BTCUSDT,30,core_risk,-0.04708001449769894,-0.14081898272011395,9529.199855023011,58.283394541208025,9.712850899907366,1.9658621015591446,0.35379497420217376,333,0,2,365
BTCUSDT,30,core_tactical_risk,-0.031238180571184104,-0.14433015186403464,9687.61819428816,534.5769452865471,89.09599524455119,17.168608886321174,0.2944468205564181,333,0,2,365
BTCUSDT,30,core_tactical_band,-0.03040220890155665,-0.14392131513232198,9695.977910984433,508.97676700595935,84.82929178230303,16.342861300291837,0.28847778105762495,94,239,2,365
ETHUSDT,0,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
ETHUSDT,0,buy_hold,-0.04679972029228174,-0.5273805628797064,9532.002797077183,0.0,0.0,1.0,0.9123287671232877,1,0,2,365
ETHUSDT,0,core_risk,0.026500735315255985,-0.17966465198212722,10265.00735315256,0.0,0.0,3.4525514850428296,0.25402955419047396,333,0,2,365
ETHUSDT,0,core_tactical_risk,0.0973359397357314,-0.1176112848457378,10973.359397357313,0.0,0.0,6.270056647930892,0.16888239053375678,333,0,2,365
ETHUSDT,0,core_tactical_band,0.09034524054060356,-0.11694922765249582,10903.452405406037,0.0,0.0,5.031870479994179,0.15705995488870472,58,275,2,365
ETHUSDT,10,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
ETHUSDT,10,buy_hold,-0.04822785439675936,-0.5280886658366184,9517.721456032406,9.990009990009991,4.992508740633526,0.9985017481269357,0.9123287671232877,1,0,2,365
ETHUSDT,10,core_risk,0.021198345148147224,-0.18085901513986713,10211.983451481472,34.662392570160456,17.330415590109997,3.452344559603359,0.25402955419047396,333,0,2,365
ETHUSDT,10,core_tactical_risk,0.08706370842834832,-0.12035874730798413,10870.637084283482,67.0831473472259,33.54091519002009,6.269265959662683,0.16888239053375678,333,0,2,365
ETHUSDT,10,core_tactical_band,0.08214643542475719,-0.11953312934703686,10821.464354247571,53.439598590216036,26.719127478975352,5.031120619306104,0.1570599548887047,58,275,2,365
ETHUSDT,30,cash,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,2,365
ETHUSDT,30,buy_hold,-0.050125705135748655,-0.5290296655059372,9498.742948642514,29.910269192422735,4.982553588608336,0.996510717721897,0.9123287671232877,1,0,2,365
ETHUSDT,30,core_risk,0.014171279660980751,-0.1824485049346397,10141.712796609807,103.61427946555165,17.268271363626454,3.4520704531490973,0.25402955419047396,333,0,2,365
ETHUSDT,30,core_tactical_risk,0.0735169518933585,-0.12466752182049601,10735.169518933584,199.9521838882935,33.32471602590214,6.26821380945615,0.16888239053375678,333,0,2,365
