symbol,open_time,close_time,available_at_assumed,open,high,low,close,volume
SOLUSDT,2025-01-01T00:00:00+00:00,2025-01-01T23:59:59.999000+00:00,2025-01-02T00:00:00.999000+00:00,189.31,195.33,188.0,194.28,1655160.102
SOLUSDT,2025-01-02T00:00:00+00:00,2025-01-02T23:59:59.999000+00:00,2025-01-03T00:00:00.999000+00:00,194.28,210.48,193.43,208.31,3224923.982
SOLUSDT,2025-01-03T00:00:00+00:00,2025-01-03T23:59:59.999000+00:00,2025-01-04T00:00:00.999000+00:00,208.3,219.83,205.63,217.99,3251086.556
SOLUSDT,2025-01-04T00:00:00+00:00,2025-01-04T23:59:59.999000+00:00,2025-01-05T00:00:00.999000+00:00,218.0,218.18,213.54,216.67,1943711.39
SOLUSDT,2025-01-05T00:00:00+00:00,2025-01-05T23:59:59.999000+00:00,2025-01-06T00:00:00.999000+00:00,216.67,219.05,211.46,213.41,2101040.545
SOLUSDT,2025-01-06T00:00:00+00:00,2025-01-06T23:59:59.999000+00:00,2025-01-07T00:00:00.999000+00:00,213.41,223.18,211.56,218.22,2855362.858
SOLUSDT,2025-01-07T00:00:00+00:00,2025-01-07T23:59:59.999000+00:00,2025-01-08T00:00:00.999000+00:00,218.22,219.11,201.8,202.17,3742298.284
SOLUSDT,2025-01-08T00:00:00+00:00,2025-01-08T23:59:59.999000+00:00,2025-01-09T00:00:00.999000+00:00,202.17,203.28,188.34,197.48,4446830.23
SOLUSDT,2025-01-09T00:00:00+00:00,2025-01-09T23:59:59.999000+00:00,2025-01-10T00:00:00.999000+00:00,197.48,199.06,182.0,184.95,3607147.193
SOLUSDT,2025-01-10T00:00:00+00:00,2025-01-10T23:59:59.999000+00:00,2025-01-11T00:00:00.999000+00:00,184.96,193.02,183.51,187.68,3642892.082
SOLUSDT,2025-01-11T00:00:00+00:00,2025-01-11T23:59:59.999000+00:00,2025-01-12T00:00:00.999000+00:00,187.69,191.91,184.01,188.09,2204486.056
SOLUSDT,2025-01-12T00:00:00+00:00,2025-01-12T23:59:59.999000+00:00,2025-01-13T00:00:00.999000+00:00,188.09,191.0,185.17,188.51,1330917.135
SOLUSDT,2025-01-13T00:00:00+00:00,2025-01-13T23:59:59.999000+00:00,2025-01-14T00:00:00.999000+00:00,188.5,191.99,168.88,182.87,5669925.613
SOLUSDT,2025-01-14T00:00:00+00:00,2025-01-14T23:59:59.999000+00:00,2025-01-15T00:00:00.999000+00:00,182.86,190.11,181.88,187.57,2737355.064
SOLUSDT,2025-01-15T00:00:00+00:00,2025-01-15T23:59:59.999000+00:00,2025-01-16T00:00:00.999000+00:00,187.57,206.04,185.84,205.86,3768610.58
SOLUSDT,2025-01-16T00:00:00+00:00,2025-01-16T23:59:59.999000+00:00,2025-01-17T00:00:00.999000+00:00,205.86,217.14,198.47,211.14,5710255.657
SOLUSDT,2025-01-17T00:00:00+00:00,2025-01-17T23:59:59.999000+00:00,2025-01-18T00:00:00.999000+00:00,211.15,222.11,209.84,219.51,4384472.838
SOLUSDT,2025-01-18T00:00:00+00:00,2025-01-18T23:59:59.999000+00:00,2025-01-19T00:00:00.999000+00:00,219.52,270.67,217.29,261.97,19971981.58
SOLUSDT,2025-01-19T00:00:00+00:00,2025-01-19T23:59:59.999000+00:00,2025-01-20T00:00:00.999000+00:00,261.97,295.83,236.68,252.42,25051667.6
SOLUSDT,2025-01-20T00:00:00+00:00,2025-01-20T23:59:59.999000+00:00,2025-01-21T00:00:00.999000+00:00,252.4,273.29,229.44,242.19,16879575.561
SOLUSDT,2025-01-21T00:00:00+00:00,2025-01-21T23:59:59.999000+00:00,2025-01-22T00:00:00.999000+00:00,242.18,260.06,230.0,250.33,7882737.257
SOLUSDT,2025-01-22T00:00:00+00:00,2025-01-22T23:59:59.999000+00:00,2025-01-23T00:00:00.999000+00:00,250.33,272.03,248.43,257.36,6223427.616
SOLUSDT,2025-01-23T00:00:00+00:00,2025-01-23T23:59:59.999000+00:00,2025-01-24T00:00:00.999000+00:00,257.37,258.48,242.19,253.11,6802762.723
SOLUSDT,2025-01-24T00:00:00+00:00,2025-01-24T23:59:59.999000+00:00,2025-01-25T00:00:00.999000+00:00,253.12,270.18,247.18,253.37,5214294.569
SOLUSDT,2025-01-25T00:00:00+00:00,2025-01-25T23:59:59.999000+00:00,2025-01-26T00:00:00.999000+00:00,253.36,260.78,246.33,256.41,3703989.301
SOLUSDT,2025-01-26T00:00:00+00:00,2025-01-26T23:59:59.999000+00:00,2025-01-27T00:00:00.999000+00:00,256.4,260.16,240.32,240.5,3028015.524
SOLUSDT,2025-01-27T00:00:00+00:00,2025-01-27T23:59:59.999000+00:00,2025-01-28T00:00:00.999000+00:00,240.49,242.68,220.89,234.89,8916620.842
SOLUSDT,2025-01-28T00:00:00+00:00,2025-01-28T23:59:59.999000+00:00,2025-01-29T00:00:00.999000+00:00,234.9,244.0,225.01,227.06,3483450.087
SOLUSDT,2025-01-29T00:00:00+00:00,2025-01-29T23:59:59.999000+00:00,2025-01-30T00:00:00.999000+00:00,227.06,238.49,222.63,228.16,3844193.838
SOLUSDT,2025-01-30T00:00:00+00:00,2025-01-30T23:59:59.999000+00:00,2025-01-31T00:00:00.999000+00:00,228.16,244.7,226.84,238.31,3341265.973
SOLUSDT,2025-01-31T00:00:00+00:00,2025-01-31T23:59:59.999000+00:00,2025-02-01T00:00:00.999000+00:00,238.3,241.82,228.24,231.77,2942165.567
SOLUSDT,2025-02-01T00:00:00+00:00,2025-02-01T23:59:59.999000+00:00,2025-02-02T00:00:00.999000+00:00,231.77,236.46,212.74,213.03,2849748.65
SOLUSDT,2025-02-02T00:00:00+00:00,2025-02-02T23:59:59.999000+00:00,2025-02-03T00:00:00.999000+00:00,213.03,218.9,192.31,203.51,7255500.333
SOLUSDT,2025-02-03T00:00:00+00:00,2025-02-03T23:59:59.999000+00:00,2025-02-04T00:00:00.999000+00:00,203.52,218.7,175.89,216.28,12836970.265
